step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
362,0.2665,1.24112,0.0716409,0.345366,0.0103402,8.64479
363,0.266501,1.24144,0.0716397,0.345373,0.0103403,8.64497
364,0.266502,1.24175,0.0716394,0.345381,0.0103404,8.64516
365,0.266502,1.24222,0.0716406,0.345391,0.0103396,8.64613
366,0.266503,1.24285,0.0716437,0.345403,0.0103391,8.64633
367,0.266503,1.24364,0.0716481,0.345415,0.0103394,8.64661
368,0.266503,1.24411,0.0716536,0.345423,0.0103399,8.64682
369,0.266502,1.24443,0.0716597,0.345429,0.0103404,8.6469
370,0.266501,1.24458,0.0716666,0.345432,0.0103408,8.64694
371,0.2665,1.24427,0.071674,0.345432,0.0103414,8.64516
372,0.266497,1.2438,0.0716823,0.34543,0.0103419,8.645
373,0.266494,1.24317,0.0716922,0.34543,0.0103412,8.64514
374,0.266491,1.24254,0.071703,0.345426,0.0103414,8.6466
375,0.266489,1.24207,0.0717143,0.345421,0.0103416,8.64638
376,0.266487,1.24144,0.0717259,0.345415,0.0103417,8.64617
377,0.266485,1.24065,0.0717376,0.345406,0.0103417,8.6459
378,0.266483,1.24002,0.0717494,0.345396,0.0103417,8.64557
379,0.266482,1.23923,0.0717611,0.345385,0.0103417,8.64526
380,0.266481,1.23859,0.0717731,0.345376,0.0103409,8.64411
381,0.26648,1.23828,0.0717859,0.345375,0.01034,8.64438
382,0.266478,1.23812,0.0717991,0.345381,0.0103396,8.64471
383,0.266476,1.23812,0.0718122,0.345393,0.0103395,8.6451
384,0.266474,1.23812,0.0718254,0.34541,0.0103395,8.64559
385,0.266471,1.23796,0.0718383,0.345428,0.0103396,8.64608
386,0.266468,1.2378,0.0718511,0.34545,0.0103398,8.6466
387,0.266464,1.23749,0.0718635,0.345468,0.0103401,8.64708
388,0.266461,1.23717,0.0718758,0.345484,0.0103403,8.64744
389,0.266458,1.23701,0.0718879,0.345503,0.0103405,8.64785
390,0.266455,1.23686,0.0718997,0.345519,0.0103408,8.64821
391,0.266452,1.2367,0.0719111,0.345533,0.0103411,8.64846
392,0.26645,1.23654,0.0719221,0.345543,0.0103415,8.64863
393,0.266448,1.23622,0.0719326,0.345548,0.0103418,8.64862
394,0.266446,1.23591,0.0719427,0.345551,0.010342,8.64861
395,0.266444,1.23527,0.071952,0.345549,0.0103426,8.64959
396,0.266441,1.234,0.0719589,0.34554,0.0103444,8.64878
397,0.266438,1.23258,0.0719635,0.345527,0.0103442,8.64851
398,0.266436,1.23131,0.0719667,0.345515,0.0103436,8.64817
399,0.266435,1.23019,0.0719684,0.345501,0.010343,8.64788
