step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
230,0.266861,1.43301,0.0727766,0.343436,0.0103834,8.59494,0
231,0.266854,1.42929,0.0728334,0.343352,0.0103832,8.59278,0
232,0.266845,1.42471,0.0729026,0.343259,0.0103826,8.5899,0
233,0.266833,1.41964,0.0729843,0.34316,0.0103815,8.5873,0
234,0.266819,1.41416,0.0730778,0.343059,0.01038,8.58475,0
235,0.266803,1.4089,0.0731822,0.342962,0.0103775,8.58249,0
236,0.266784,1.40394,0.073297,0.342875,0.0103754,8.58044,0
237,0.266765,1.39926,0.0734212,0.342794,0.010374,8.57857,0
238,0.266742,1.39462,0.073553,0.342721,0.0103734,8.57689,0
239,0.266718,1.39002,0.0736907,0.342656,0.0103735,8.57537,0
240,0.266691,1.38527,0.0738337,0.342595,0.0103742,8.57399,0
241,0.266663,1.38029,0.0739799,0.34254,0.0103753,8.57266,0
242,0.266632,1.37504,0.0741285,0.342487,0.0103766,8.57136,0
243,0.266601,1.36948,0.0742779,0.342435,0.010379,8.57008,0
244,0.266568,1.36369,0.0744271,0.342382,0.0103802,8.56875,0
245,0.266536,1.3579,0.074575,0.342329,0.0103819,8.56727,0
246,0.266504,1.35212,0.0747213,0.342275,0.0103829,8.56598,0
247,0.266473,1.34644,0.074864,0.342221,0.0103839,8.56468,0
248,0.266444,1.341,0.0750026,0.342164,0.0103849,8.56316,0
249,0.266418,1.33576,0.0751358,0.342105,0.0103864,8.56161,0
250,0.266393,1.33081,0.0752631,0.342042,0.010387,8.55998,0
251,0.26637,1.3261,0.0753832,0.341978,0.0103876,8.55834,0
252,0.266351,1.32173,0.0754955,0.341912,0.0103882,8.55653,0
253,0.266333,1.31753,0.0755984,0.341843,0.0103892,8.55511,0
254,0.266317,1.31352,0.0756918,0.341778,0.0103903,8.5533,0
255,0.266304,1.30984,0.0757751,0.341714,0.0103911,8.55155,0
256,0.266293,1.30661,0.0758488,0.341654,0.0103913,8.55002,0
257,0.266284,1.30368,0.0759122,0.341598,0.0103916,8.54905,0
258,0.266277,1.30098,0.0759646,0.341545,0.0103924,8.54771,0
259,0.26627,1.29847,0.0760054,0.3415,0.0103928,8.54676,0
260,0.266265,1.29631,0.0760353,0.341464,0.0103923,8.54602,0
261,0.266262,1.295,0.0760545,0.341441,0.0103914,8.54568,0
262,0.266261,1.29442,0.0760632,0.341429,0.0103909,8.54562,0
263,0.266261,1.29437,0.0760614,0.341429,0.0103909,8.54624,0
264,0.266262,1.29463,0.0760488,0.34144,0.0103913,8.54616,0
265,0.266266,1.29552,0.0760261,0.34146,0.0103911,8.5472,0
266,0.26627,1.29689,0.0759939,0.341488,0.0103912,8.54802,0
267,0.266277,1.29864,0.0759529,0.341525,0.0103912,8.54904,0
268,0.266283,1.30079,0.0759037,0.341572,0.0103912,8.55029,0
269,0.266291,1.30326,0.0758475,0.341625,0.0103911,8.55172,0
270,0.2663,1.30621,0.0757845,0.341686,0.0103909,8.55325,0
271,0.266311,1.30955,0.0757152,0.341751,0.0103908,8.55495,0
272,0.266324,1.31335,0.0756408,0.341819,0.0103909,8.55674,0
273,0.266337,1.31727,0.0755613,0.341885,0.0103914,8.55846,0
274,0.266352,1.3213,0.0754777,0.341952,0.0103918,8.56014,0
275,0.266368,1.32533,0.0753905,0.342015,0.0103921,8.56179,0
276,0.266386,1.32956,0.0753005,0.342077,0.0103925,8.56331,0
277,0.266405,1.33361,0.0752091,0.342133,0.0103928,8.56444,0
278,0.266424,1.33761,0.0751158,0.342183,0.0103931,8.56557,0
279,0.266444,1.34133,0.0750217,0.342227,0.010393,8.56668,0
