attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,161,3.22,approach,0.12768,0.12768,0.03,-27.64,1.37,0.3266,0,0.0,0.0
0,162,3.24,approach,0.12556,0.12556,0.03,-27.71,1.33,0.3265,0,0.0,0.0
0,163,3.26,approach,0.12346,0.12346,0.03,-27.79,1.3,0.3264,0,0.0,0.0
0,164,3.28,approach,0.12142,0.12142,0.03,-27.88,1.26,0.3263,0,0.0,0.0
0,165,3.3,approach,0.1194,0.1194,0.03,-27.97,1.23,0.3262,0,0.0,0.0
0,166,3.32,approach,0.11745,0.11745,0.03,-28.07,1.2,0.3261,0,0.0,0.0
0,167,3.34,approach,0.1155,0.1155,0.03,-28.17,1.16,0.326,0,0.0,0.0
0,168,3.36,approach,0.11362,0.11362,0.03,-28.28,1.13,0.3259,0,0.0,0.0
0,169,3.38,approach,0.11173,0.11173,0.03,-28.39,1.1,0.3258,0,0.0,0.0
0,170,3.4,approach,0.10991,0.10991,0.03,-28.5,1.07,0.3257,0,0.0,0.0
0,171,3.42,approach,0.10807,0.10807,0.03,-28.62,1.04,0.3256,0,0.0,0.0
0,172,3.44,approach,0.1063,0.1063,0.03,-28.74,1.02,0.3255,0,0.0,0.0
0,173,3.46,approach,0.1045,0.1045,0.03,-28.86,0.99,0.3254,0,0.0,0.0
0,174,3.48,approach,0.10277,0.10277,0.03,-28.99,0.96,0.3253,0,0.0,0.0
0,175,3.5,approach,0.10101,0.10101,0.03,-29.12,0.93,0.3252,0,0.0,0.0
0,176,3.52,approach,0.09933,0.09933,0.03,-29.25,0.9,0.3251,0,0.0,0.0
0,177,3.54,approach,0.09762,0.09762,0.03,-29.38,0.87,0.325,0,0.0,0.0
0,178,3.56,approach,0.09597,0.09597,0.03,-29.52,0.85,0.3249,0,0.0,0.0
0,179,3.58,approach,0.09429,0.09429,0.03,-29.66,0.82,0.3248,0,0.0,0.0
0,180,3.6,approach,0.09268,0.09268,0.03,-29.8,0.8,0.3247,0,0.0,0.0
0,181,3.62,approach,0.09102,0.09102,0.03,-29.93,0.77,0.3246,0,0.0,0.0
0,182,3.64,approach,0.08943,0.08943,0.03,-30.07,0.74,0.3245,0,0.0,0.0
0,183,3.66,approach,0.0878,0.0878,0.03,-30.21,0.72,0.3244,0,0.0,0.0
0,184,3.68,approach,0.08625,0.08625,0.03,-30.35,0.69,0.3243,0,0.0,0.0
0,185,3.7,approach,0.08465,0.08465,0.03,-30.48,0.66,0.3242,0,0.0,0.0
0,186,3.72,approach,0.08314,0.08314,0.03,-30.63,0.64,0.3241,0,0.0,0.0
0,187,3.74,approach,0.08156,0.08156,0.03,-30.76,0.61,0.324,0,0.0,0.0
0,188,3.76,approach,0.08009,0.08009,0.03,-30.91,0.59,0.3239,0,0.0,0.0
0,189,3.78,approach,0.07856,0.07856,0.03,-31.04,0.56,0.3238,0,0.0,0.0
0,190,3.8,approach,0.07715,0.07715,0.03,-31.19,0.54,0.3237,0,0.0,0.0
0,191,3.82,approach,0.07565,0.07565,0.03,-31.33,0.51,0.3236,0,0.0,0.0
0,192,3.84,approach,0.07429,0.07429,0.03,-31.48,0.49,0.3235,0,0.0,0.0
0,193,3.86,approach,0.07284,0.07284,0.03,-31.62,0.47,0.3234,0,0.0,0.0
0,194,3.88,approach,0.07153,0.07153,0.03,-31.77,0.45,0.3233,0,0.0,0.0
0,195,3.9,approach,0.07014,0.07014,0.03,-31.91,0.42,0.3232,0,0.0,0.0
0,196,3.92,approach,0.0689,0.0689,0.03,-32.07,0.4,0.3231,0,0.0,0.0
0,197,3.94,approach,0.06755,0.06755,0.03,-32.21,0.38,0.323,0,0.0,0.0
0,198,3.96,approach,0.06637,0.06637,0.03,-32.37,0.36,0.3228,0,0.0,0.0
0,199,3.98,approach,0.06506,0.06506,0.03,-32.51,0.33,0.3227,0,0.0,0.0
0,200,4.0,approach,0.06393,0.06393,0.03,-32.67,0.31,0.3226,0,0.0,0.0
0,201,4.02,approach,0.06269,0.06269,0.03,-32.82,0.29,0.3225,0,0.0,0.0
0,202,4.04,approach,0.06165,0.06165,0.03,-32.97,0.27,0.3224,0,0.0,0.0
0,203,4.06,approach,0.06045,0.06045,0.03,-33.12,0.24,0.3222,0,0.0,0.0
0,204,4.08,approach,0.05948,0.05948,0.03,-33.28,0.22,0.3221,0,0.0,0.0
0,205,4.1,approach,0.05833,0.05833,0.03,-33.43,0.2,0.322,0,0.0,0.0
0,206,4.12,approach,0.05742,0.05742,0.03,-33.58,0.18,0.3218,0,0.0,0.0
0,207,4.14,approach,0.05635,0.05635,0.03,-33.74,0.15,0.3217,0,0.0,0.0
0,208,4.16,approach,0.05552,0.05552,0.03,-33.9,0.14,0.3216,0,0.0,0.0
0,209,4.18,approach,0.05449,0.05449,0.03,-34.05,0.11,0.3214,0,0.0,0.0
0,210,4.2,approach,0.05372,0.05372,0.03,-34.2,0.09,0.3213,0,0.0,0.0
0,211,4.22,approach,0.05275,0.05275,0.03,-34.36,0.07,0.3211,0,0.0,0.0
0,212,4.24,approach,0.05205,0.05205,0.03,-34.51,0.05,0.321,0,0.0,0.0
0,213,4.26,approach,0.05115,0.05115,0.03,-34.67,0.02,0.3208,0,0.0,0.0
0,214,4.28,approach,0.05055,0.05055,0.03,-34.83,0.01,0.3207,0,0.0,0.0
0,215,4.3,approach,0.04969,0.04969,0.03,-34.98,0.02,0.3205,0,0.0,0.0
0,216,4.32,approach,0.04915,0.04915,0.03,-35.15,0.04,0.3204,0,0.0,0.0
0,217,4.34,approach,0.04837,0.04837,0.03,-35.3,0.07,0.3202,0,0.0,0.0
0,218,4.36,approach,0.0479,0.0479,0.03,-35.46,0.08,0.3201,0,0.0,0.0
0,219,4.38,approach,0.04718,0.04718,0.03,-35.62,0.11,0.3199,0,0.0,0.0
0,220,4.4,approach,0.04678,0.04678,0.03,-35.78,0.13,0.3198,0,0.0,0.0
0,221,4.42,approach,0.04611,0.04611,0.03,-35.94,0.15,0.3196,0,0.0,0.0
0,222,4.44,approach,0.04579,0.04579,0.03,-36.1,0.17,0.3195,0,0.0,0.0
0,223,4.46,approach,0.04518,0.04518,0.03,-36.25,0.2,0.3193,0,0.0,0.0
0,224,4.48,enter,0.04489,0.04489,0.03,-36.42,0.21,0.3192,0,0.0,0.0
0,225,4.5,enter,0.04531,0.04531,0.03,-36.57,0.24,0.319,0,0.0,0.0
0,226,4.52,enter,0.04569,0.04569,0.03,-36.61,0.26,0.3188,0,0.0,0.0
