attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
13,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.235,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0086,0.23,0.0009,88.9521
14,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.235,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1466,0.1994,-0.0381,65.9476
15,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0017,0.2327,0.0021,85.8958
0,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0478,0.2092,0.0019,86.7709
1,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1087,0.2,-0.0004,50.7575
2,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0302,0.2118,0.0032,65.4571
3,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0385,0.1965,0.0025,83.2747
4,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2152,0.2107,-0.1039,78.2056
5,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1868,0.2187,-0.0785,66.7517
6,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1935,0.2192,-0.0799,81.6678
