step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
286,0.88467,0.09125,0.20517,0.58825,0.23823,0.0000,0.0000,5.1719
287,0.88426,0.09100,0.20518,0.58808,0.23816,0.0000,0.0000,5.1649
288,0.88396,0.09078,0.20528,0.58790,0.23809,0.0000,0.0000,5.1648
289,0.88353,0.09053,0.20525,0.58775,0.23804,0.0000,0.0000,5.1684
290,0.88307,0.09026,0.20518,0.58763,0.23800,0.0000,0.0000,5.1453
291,0.88298,0.09017,0.20529,0.58751,0.23798,0.0000,0.0000,5.1546
292,0.88258,0.08994,0.20521,0.58743,0.23796,0.0000,0.0000,5.1438
293,0.88268,0.08995,0.20536,0.58737,0.23796,0.0000,0.0000,5.1412
294,0.88273,0.08999,0.20535,0.58739,0.23799,0.0000,0.0000,5.1388
295,0.88293,0.09017,0.20524,0.58752,0.23806,0.0000,0.0000,5.1282
296,0.88291,0.09031,0.20490,0.58770,0.23815,0.0000,0.0000,5.1311
297,0.88301,0.09052,0.20458,0.58791,0.23825,0.0000,0.0000,5.1318
298,0.88321,0.09074,0.20434,0.58814,0.23834,0.0000,0.0000,5.1185
299,0.88331,0.09090,0.20410,0.58830,0.23841,0.0000,0.0000,5.1296
300,0.88335,0.09104,0.20385,0.58847,0.23847,0.0000,0.0000,5.1200
301,0.88339,0.09116,0.20362,0.58862,0.23852,0.0000,0.0000,5.1182
302,0.88355,0.09131,0.20351,0.58874,0.23856,0.0000,0.0000,5.1255
303,0.88371,0.09145,0.20341,0.58885,0.23859,0.0000,0.0000,5.1168
304,0.88406,0.09161,0.20354,0.58891,0.23859,0.0000,0.0000,5.1165
305,0.88433,0.09167,0.20378,0.58888,0.23857,0.0000,0.0000,5.1134
306,0.88462,0.09170,0.20415,0.58877,0.23852,0.0000,0.0000,5.1199
307,0.88481,0.09168,0.20449,0.58865,0.23845,0.0000,0.0000,5.1160
308,0.88486,0.09159,0.20476,0.58851,0.23839,0.0000,0.0000,5.1183
309,0.88481,0.09147,0.20498,0.58836,0.23832,0.0000,0.0000,5.1229
310,0.88475,0.09136,0.20518,0.58820,0.23826,0.0000,0.0000,5.1282
311,0.88458,0.09122,0.20531,0.58806,0.23819,0.0000,0.0000,5.1226
312,0.88440,0.09108,0.20540,0.58792,0.23814,0.0000,0.0000,5.1285
313,0.88402,0.09084,0.20539,0.58779,0.23809,0.0000,0.0000,5.1238
314,0.88278,0.09652,0.20468,0.58158,0.23805,0.0000,0.0000,5.1266
315,0.88087,0.10191,0.20368,0.57528,0.23802,0.0000,0.0000,5.1435
316,0.87883,0.10730,0.20265,0.56888,0.23799,0.0000,0.0000,5.1754
317,0.87657,0.11260,0.20160,0.56237,0.23798,0.0000,0.0000,5.2025
318,0.87377,0.11769,0.20028,0.55581,0.23797,0.0000,0.0000,5.2196
319,0.87124,0.12296,0.19912,0.54916,0.23798,0.0000,0.0000,5.2461
320,0.86835,0.12816,0.19764,0.54255,0.23804,0.0000,0.0000,5.2518
