step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
77,1789554896.318,-0.1045866,0.500002,-0.02936345,-0.00363061,0,0,-0.003967613,1.812505,0.4090142,-0.02069904,0,0,0,0,1,15.22049,0.0008649756,-0.007082482,0.002290864,0.03676895,0.4854321,0.03840828,93830,0.5727805,500,25.60037
78,1789554896.846,-0.1043035,0.500002,-0.02870208,-0.003597779,0,0,-0.004007715,1.816906,0.4155165,-0.020508,0,0,0,0,1,15.20501,0.0005766504,-0.007488092,0.002289991,0.03510126,0.4851937,0.0391953,93731,0.5727279,500,25.7179
79,1789554897.371,-0.1051072,0.500002,-0.02874171,-0.003644241,0,0,-0.003964608,1.819728,0.4225718,-0.02063633,0,0,0,0,1,15.20302,0.0008649756,-0.007689102,0.002241371,0.03750212,0.4826257,0.03807211,94396,0.5727673,500,25.80753
80,1789554897.895,-0.1055575,0.500002,-0.02756206,-0.003610543,0,0,-0.003998379,1.824229,0.4273986,-0.02062311,0,0,0,0,1,15.1915,0.0005766504,-0.00735523,0.002294925,0.03747722,0.4823258,0.03840518,94390,0.5728285,500,25.94968
81,1789554898.424,-0.104897,0.500002,-0.02771598,-0.003611532,0,0,-0.004047209,1.826864,0.432734,-0.02071026,0,0,0,0,1,15.19295,0.0008649756,-0.00776531,0.002087797,0.03698442,0.4866486,0.03831577,93629,0.5730386,500,26.03152
82,1789554898.952,-0.1055736,0.500002,-0.02962024,-0.003565228,0,-1.148696e-05,-0.004051073,1.824979,0.4307985,-0.02035501,0,0,0,0,1,15.2008,0.0008649756,-0.006837513,0.002187362,0.0388852,0.4856369,0.03799963,93866,0.5736338,500,25.89311
83,1789554899.465,-0.1054745,0.500002,-0.03098579,-0.00373704,0,0,-0.003992038,1.827894,0.4361737,-0.02000779,0,0,0,0,1,15.20675,0.0003844336,-0.004367243,0.001971279,0.0434317,0.4710345,0.03838968,96485,0.5736846,500,26.14669
84,1789554899.961,-0.1053947,0.500002,-0.02883735,-0.003716697,0,0,-0.004125796,1.828253,0.4353603,-0.01995972,0,0,0,0,1,15.19699,0.0005766504,-0.007019229,0.002091767,0.03699581,0.4531739,0.03857088,99954,0.5735978,500,26.15679
85,1789554900.464,-0.1055326,0.500002,-0.02532612,-0.003689202,0,0,-0.004118124,1.842005,0.4589567,-0.0205903,0,0,0,0,1,15.19036,0.0005766504,-0.006956678,0.002028652,0.04251513,0.4611201,0.0381465,98448,0.573631,500,26.16052
86,1789554900.967,-0.1069574,0.500002,-0.02527495,-0.003608073,0,0,-0.004042477,1.834204,0.4535299,-0.02094021,0,0,0,0,1,15.18084,0.0008649756,-0.006943394,0.002109938,0.0364533,0.4617434,0.03814197,98326,0.5737502,500,26.21314
87,1789554901.463,-0.1069969,0.500002,-0.02223786,-0.003488092,0,0,-0.004076337,1.846565,0.4711982,-0.02002432,0,0,0,0,1,15.18377,0.0005766504,-0.005415285,0.001850095,0.02892955,0.4533215,0.03803444,100033,0.5740802,500,26.27814
88,1789554901.954,-0.1067872,0.500002,-0.02861157,-0.003606959,0,0,-0.003996673,1.843382,0.468385,-0.0193987,0,0,0,0,1,15.19587,0.0005766504,-0.006541366,0.001891044,0.04888222,0.4494987,0.03791094,100843,0.5748045,500,26.3296
89,1789554902.440,-0.1049004,0.500002,-0.02709405,-0.003688851,0,0,-0.004176486,1.841419,0.461794,-0.02037173,0,0,0,0,1,15.19926,0.0005766504,-0.00739634,0.001913713,0.0454453,0.444438,0.03836536,101805,0.5750108,500,26.34125
90,1789554902.928,-0.1018828,0.500002,-0.0188442,-0.003407709,0,0,-0.004096557,1.839889,0.4579005,-0.0195315,0,0,0,0,1,15.19645,0.0005766504,-0.007349856,0.002014203,0.02669222,0.4465795,0.03816128,101398,0.5752217,500,26.34373
91,1789554903.416,-0.1089804,0.500002,-0.01545599,-0.003187404,0,0,-0.00398257,1.837302,0.4482749,-0.02151301,0,0,0,0,1,15.17498,0.0008649756,-0.006882666,0.001764022,0.06206676,0.4438784,0.03858972,101876,0.5744172,500,26.33664
92,1789554903.899,-0.1036313,0.500002,-0.02343413,-0.003517943,0,0,-0.00443736,1.832913,0.4546584,-0.02161745,0,0,0,0,1,15.15877,0.0005766504,-0.004708019,0.001748605,0.03014137,0.4411728,0.03925252,102309,0.574299,500,26.33514
