step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
64,1789608543.926,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.534665,0.0003844336,-0.009244509,0.003140637,0.03326318,0.4574711,0.03901982,98998,0.3692205,500,21.83624
65,1789608544.433,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.451146,0.0002562891,-0.007884302,0.00284721,0.03326318,0.4647002,0.03878307,97623,0.3676044,500,21.83624
66,1789608544.947,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.361502,0.0003844336,-0.007742669,0.002825404,0.03326318,0.4722309,0.03890467,96162,0.3654579,500,21.83624
67,1789608545.459,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.247436,0.0005766504,-0.006039274,0.002897206,0.03326318,0.4691553,0.03908443,96710,0.3632429,500,21.83624
68,1789608545.977,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.134766,0.0003844336,-0.007436473,0.002441094,0.03326318,0.4736693,0.03958035,95766,0.3608804,500,21.83624
69,1789608546.498,-0.441898,0.500002,-0.08948823,-0.02000655,-0.003412436,0,0,-0.001670833,1.860333,0.5127386,-0.01924487,0,0,0,0,1,7.017829,0.0008649756,-0.007505583,0.002521162,0.03152822,0.4779887,0.03907943,95059,0.3584499,500,21.85746
70,1789608547.016,-0.4185571,0.500002,-0.08076649,-0.02915837,-0.003390763,0,0,-0.001586266,1.850764,0.5020497,-0.01633818,0,0,0,0,1,6.904883,0.0005766504,-0.007266833,0.002114059,0.03117805,0.4754133,0.03872347,95601,0.3565918,500,21.88011
71,1789608547.540,-0.4298539,0.500002,-0.08377919,-0.02582643,-0.00323029,0,0,-0.001684221,1.858812,0.5097942,-0.01676634,0,0,0,0,1,6.804986,0.0005766504,-0.008457344,0.002433181,0.02974754,0.4812942,0.03892803,94482,0.354545,500,21.95464
72,1789608548.075,-0.4274113,0.500002,-0.08307598,-0.01980747,-0.003243156,0,0,-0.001547831,1.856956,0.5021055,-0.01642932,0,0,0,0,1,6.677178,0.0008649756,-0.005466816,0.002262365,0.03466818,0.4920588,0.03907156,92542,0.351803,500,22.08417
73,1789608548.614,-0.4270774,0.500002,-0.08669288,-0.01823065,-0.003054995,0,0,-0.001552325,1.870694,0.5250971,-0.01591027,0,0,0,0,1,6.566303,0.0005766504,-0.006874314,0.002140875,0.03333647,0.496485,0.03845549,91883,0.3499945,500,22.3065
