step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
294,0.03552,0.01474,0.00717,0.01360,0.26040,0.0000,0.0000,0.9565
295,0.03170,0.01182,0.00801,0.01187,0.26062,0.0000,0.0000,0.8961
296,0.02864,0.01081,0.00753,0.01029,0.26096,0.0000,0.0000,0.8291
297,0.02806,0.01034,0.00801,0.00970,0.26136,0.0000,0.0000,0.7876
298,0.03129,0.00974,0.01107,0.01048,0.26169,0.0000,0.0000,0.7539
299,0.03643,0.00956,0.01462,0.01226,0.26187,0.0000,0.0000,0.6996
300,0.04093,0.01109,0.01586,0.01398,0.26187,0.0000,0.0000,0.6547
301,0.04466,0.01387,0.01542,0.01537,0.26175,0.0000,0.0000,0.6327
302,0.04779,0.01743,0.01380,0.01657,0.26156,0.0000,0.0000,0.6299
303,0.05030,0.02073,0.01208,0.01749,0.26134,0.0000,0.0000,0.6601
304,0.05110,0.02238,0.01057,0.01816,0.26111,0.0000,0.0000,0.7195
305,0.04909,0.02202,0.00909,0.01797,0.26094,0.0000,0.0000,0.7886
306,0.04433,0.01878,0.00847,0.01708,0.26091,0.0000,0.0000,0.8484
307,0.03804,0.01412,0.00786,0.01606,0.26107,0.0000,0.0000,0.8678
308,0.03338,0.01025,0.00791,0.01522,0.26139,0.0000,0.0000,0.8479
309,0.03177,0.00827,0.00863,0.01486,0.26178,0.0000,0.0000,0.7979
310,0.03346,0.00790,0.00998,0.01557,0.26212,0.0000,0.0000,0.7434
311,0.03756,0.00923,0.01166,0.01667,0.26233,0.0000,0.0000,0.7010
312,0.04205,0.01221,0.01214,0.01771,0.26241,0.0000,0.0000,0.6878
313,0.04542,0.01542,0.01135,0.01864,0.26237,0.0000,0.0000,0.7042
314,0.03552,0.01205,0.01036,0.01311,0.26227,0.0000,0.0000,0.7522
315,0.02548,0.00942,0.00869,0.00738,0.26217,0.0000,0.0000,0.8228
316,0.01642,0.00780,0.00699,0.00164,0.26216,0.0000,0.0000,0.9129
317,0.01546,0.00656,0.00543,0.00348,0.26231,0.0000,0.0000,1.0250
318,0.01662,0.00499,0.00410,0.00753,0.26264,0.0000,0.0000,1.1481
319,0.01667,0.00288,0.00324,0.01055,0.26317,0.0000,0.0000,1.2895
320,0.01582,0.00080,0.00235,0.01266,0.26390,0.0000,0.0000,1.4393
321,0.01660,0.00115,0.00149,0.01395,0.26481,0.0000,0.0000,1.5863
322,0.01863,0.00335,0.00082,0.01446,0.26588,0.0000,0.0000,1.7004
323,0.02008,0.00537,0.00030,0.01441,0.26707,0.0000,0.0000,1.7582
324,0.02261,0.00674,0.00185,0.01401,0.26837,0.0000,0.0000,1.7650
