step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
201,0.03437,0.01115,0.02322,0.00000,0.30137,0.0000,0.0000,1.9309
202,0.03635,0.00847,0.02450,0.00338,0.30070,0.0000,0.0000,1.9445
203,0.03859,0.00642,0.02580,0.00637,0.29945,0.0000,0.0000,2.0087
204,0.03266,0.00088,0.02584,0.00595,0.29813,0.0000,0.0000,2.0354
205,0.03399,0.00031,0.02601,0.00768,0.29738,0.0000,0.0000,2.2078
206,0.04347,0.00323,0.02778,0.01247,0.29746,0.0000,0.0000,2.4684
207,0.04340,0.00126,0.02859,0.01356,0.29854,0.0000,0.0000,2.4941
208,0.04269,0.00059,0.02945,0.01265,0.30079,0.0000,0.0000,2.5223
209,0.04263,0.00359,0.02966,0.00938,0.30245,0.0000,0.0000,2.3930
210,0.04187,0.00277,0.03074,0.00835,0.30313,0.0000,0.0000,2.6368
211,0.03963,0.00358,0.02985,0.00620,0.30312,0.0000,0.0000,2.7645
212,0.03418,0.00131,0.02858,0.00429,0.30275,0.0000,0.0000,2.9114
213,0.03009,0.00098,0.02708,0.00203,0.30221,0.0000,0.0000,3.2581
214,0.03055,0.00400,0.02645,0.00010,0.30157,0.0000,0.0000,3.4274
215,0.03604,0.00772,0.02508,0.00324,0.30079,0.0000,0.0000,3.2932
216,0.04614,0.01446,0.02487,0.00681,0.29965,0.0000,0.0000,3.0663
217,0.05252,0.01689,0.02370,0.01193,0.29792,0.0000,0.0000,2.8825
218,0.05574,0.01725,0.02228,0.01621,0.29545,0.0000,0.0000,2.7475
219,0.05297,0.01393,0.02098,0.01806,0.29233,0.0000,0.0000,2.6634
220,0.04472,0.01125,0.01600,0.01747,0.28920,0.0000,0.0000,2.5932
221,0.03315,0.00982,0.00743,0.01591,0.28712,0.0000,0.0000,2.6796
222,0.02295,0.00703,0.00541,0.01051,0.28704,0.0000,0.0000,2.4373
223,0.01710,0.00424,0.00556,0.00730,0.28877,0.0000,0.0000,2.2542
224,0.01239,0.00214,0.00685,0.00340,0.29187,0.0000,0.0000,2.1996
225,0.01673,0.00352,0.01261,0.00060,0.29448,0.0000,0.0000,1.9264
226,0.01690,0.00029,0.01241,0.00420,0.29608,0.0000,0.0000,2.0394
227,0.02499,0.00488,0.01539,0.00472,0.29687,0.0000,0.0000,2.0850
228,0.03274,0.01142,0.01559,0.00574,0.29723,0.0000,0.0000,2.0094
229,0.03761,0.01666,0.01354,0.00740,0.29738,0.0000,0.0000,1.7365
230,0.04373,0.02309,0.01234,0.00830,0.29742,0.0000,0.0000,1.6126
231,0.04652,0.02689,0.01117,0.00846,0.29737,0.0000,0.0000,1.4691
232,0.04731,0.02695,0.01383,0.00652,0.29716,0.0000,0.0000,1.2697
233,0.04760,0.02578,0.01778,0.00405,0.29654,0.0000,0.0000,1.0259
234,0.04690,0.02295,0.02217,0.00178,0.29527,0.0000,0.0000,0.8666
235,0.04239,0.01748,0.02453,0.00038,0.29349,0.0000,0.0000,0.8762
236,0.04097,0.01641,0.02296,0.00160,0.29178,0.0000,0.0000,0.9733
237,0.03605,0.01342,0.02024,0.00239,0.29017,0.0000,0.0000,0.9568
238,0.03439,0.01189,0.01908,0.00343,0.28935,0.0000,0.0000,1.0083
239,0.02687,0.00765,0.01682,0.00240,0.28953,0.0000,0.0000,1.0026
240,0.02093,0.00424,0.01590,0.00079,0.29092,0.0000,0.0000,1.1018
241,0.02174,0.00390,0.01749,0.00034,0.29206,0.0000,0.0000,1.1794
242,0.02345,0.00413,0.01869,0.00063,0.29246,0.0000,0.0000,1.4042
243,0.02368,0.00329,0.01993,0.00046,0.29233,0.0000,0.0000,1.5853
244,0.02222,0.00113,0.02099,0.00010,0.29194,0.0000,0.0000,1.6889
245,0.02549,0.00293,0.02226,0.00030,0.29145,0.0000,0.0000,1.6406
246,0.02612,0.00469,0.01987,0.00156,0.29083,0.0000,0.0000,1.5777
247,0.02672,0.00648,0.01654,0.00370,0.29003,0.0000,0.0000,1.5776
248,0.02618,0.00526,0.01451,0.00641,0.28894,0.0000,0.0000,1.5347
249,0.01904,0.00541,0.00654,0.00710,0.28774,0.0000,0.0000,1.4563
250,0.02654,0.00656,0.00973,0.01025,0.28659,0.0000,0.0000,1.4903
251,0.02775,0.00075,0.01139,0.01562,0.28495,0.0000,0.0000,1.4687
252,0.03394,0.00335,0.01375,0.01684,0.28303,0.0000,0.0000,1.5524
253,0.03245,0.00263,0.01358,0.01624,0.28168,0.0000,0.0000,1.8006
254,0.02839,0.00109,0.01162,0.01568,0.28149,0.0000,0.0000,2.1552
255,0.02749,0.00314,0.00862,0.01573,0.28256,0.0000,0.0000,1.9213
256,0.02586,0.00398,0.00551,0.01637,0.28492,0.0000,0.0000,1.7499
257,0.02920,0.00266,0.00867,0.01786,0.28696,0.0000,0.0000,1.4047
258,0.03609,0.00400,0.01336,0.01873,0.28816,0.0000,0.0000,1.2800
259,0.04409,0.00906,0.01498,0.02006,0.28878,0.0000,0.0000,1.2852
260,0.04842,0.01144,0.01397,0.02301,0.28909,0.0000,0.0000,1.1193
261,0.05397,0.01668,0.01397,0.02333,0.28933,0.0000,0.0000,1.0797
262,0.06214,0.02525,0.01555,0.02134,0.28957,0.0000,0.0000,1.1721
263,0.06103,0.02454,0.01420,0.02230,0.28949,0.0000,0.0000,1.2008
264,0.05713,0.02461,0.01127,0.02126,0.28926,0.0000,0.0000,1.2882
265,0.05393,0.02628,0.00855,0.01910,0.28877,0.0000,0.0000,1.2539
266,0.04859,0.02474,0.00642,0.01743,0.28764,0.0000,0.0000,1.2494
267,0.04406,0.02281,0.00636,0.01490,0.28580,0.0000,0.0000,1.1920
268,0.03537,0.01891,0.00350,0.01296,0.28372,0.0000,0.0000,1.0708
269,0.03069,0.01567,0.00359,0.01143,0.28218,0.0000,0.0000,1.0139
270,0.03145,0.01180,0.00838,0.01127,0.28218,0.0000,0.0000,0.9308
271,0.03107,0.00378,0.01473,0.01256,0.28346,0.0000,0.0000,0.9294
272,0.03162,0.00094,0.01791,0.01277,0.28599,0.0000,0.0000,0.9656
273,0.03254,0.00036,0.02028,0.01189,0.28817,0.0000,0.0000,0.8454
274,0.03512,0.00068,0.02226,0.01218,0.28946,0.0000,0.0000,0.7434
275,0.03681,0.00183,0.02171,0.01326,0.29001,0.0000,0.0000,0.7468
276,0.03404,0.00208,0.01920,0.01276,0.29017,0.0000,0.0000,0.6790
277,0.03804,0.00839,0.01631,0.01334,0.29011,0.0000,0.0000,0.5448
278,0.04121,0.01447,0.01274,0.01399,0.28980,0.0000,0.0000,0.5476
279,0.04306,0.01931,0.00915,0.01460,0.28918,0.0000,0.0000,0.4880
280,0.04196,0.02270,0.00419,0.01506,0.28819,0.0000,0.0000,0.5578
