attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
1,35,0.7,spawn,0.0195,0.01777,0.00801,0.02733,0.0216,-2.3,85.31,0.3138,0.0251,0.447,0.0,0.0,0,0.0,0.0
2,35,0.7,spawn,0.02108,0.01813,0.01074,0.02958,0.0216,-2.82,80.81,0.3142,0.0254,0.38,0.0,0.0,0,0.0,0.0
3,35,0.7,spawn,0.02116,0.01816,0.01087,0.02968,0.0216,-2.82,81.07,0.3142,0.0254,0.385,0.0,0.0,0,0.0,0.0
0,36,0.72,spawn,0.02318,0.02165,0.00829,0.03238,0.0222,-3.58,81.62,0.314,0.0255,0.436,0.0,0.0,0,0.0,0.0
1,36,0.72,spawn,0.02338,0.02271,0.00555,0.03164,0.0222,-3.09,85.29,0.3135,0.0252,0.507,0.0,0.0,0,0.0,0.0
2,36,0.72,spawn,0.02363,0.02227,0.00791,0.03273,0.0222,-3.63,80.93,0.314,0.0255,0.435,0.0,0.0,0,0.0,0.0
3,36,0.72,spawn,0.0236,0.0222,0.00802,0.03268,0.0222,-3.63,80.73,0.314,0.0255,0.44,0.0,0.0,0,0.0,0.0
0,37,0.74,spawn,0.02745,0.02682,0.00587,0.0372,0.0228,-4.48,82.2,0.3138,0.0257,0.497,0.0,0.0,0,0.0,0.0
1,37,0.74,spawn,0.0287,0.02848,0.00355,0.03731,0.0228,-3.87,85.26,0.3132,0.0252,0.572,0.0,0.0,0,0.0,0.0
2,37,0.74,spawn,0.02779,0.02726,0.00539,0.03744,0.0228,-4.56,81.09,0.3138,0.0256,0.496,0.0,0.0,0,0.0,0.0
3,37,0.74,spawn,0.02733,0.02684,0.00517,0.03665,0.0228,-4.35,80.96,0.3138,0.0256,0.512,0.0,0.0,0,0.0,0.0
0,38,0.76,spawn,0.03374,0.03346,0.00428,0.0438,0.0234,-5.39,82.12,0.3137,0.0258,0.571,0.0,0.0,0,0.0,0.0
1,38,0.76,spawn,0.035,0.03496,0.00182,0.04392,0.0234,-4.55,85.31,0.3128,0.0252,0.644,0.0,0.0,0,0.0,0.0
2,38,0.76,spawn,0.03393,0.03372,0.00378,0.04388,0.0234,-5.45,81.38,0.3136,0.0257,0.572,0.0,0.0,0,0.0,0.0
3,38,0.76,spawn,0.03264,0.03251,0.00296,0.04205,0.0234,-4.94,82.39,0.3135,0.0257,0.599,0.0,0.0,0,0.0,0.0
0,39,0.78,spawn,0.04009,0.04,0.00264,0.05031,0.024,-5.97,82.99,0.3134,0.026,0.658,0.0,0.0,0,0.0,0.0
1,39,0.78,spawn,0.0411,0.0411,-3e-05,0.05049,0.024,-5.05,84.5,0.3125,0.0252,0.719,0.0,0.0,0,0.0,0.0
2,39,0.78,spawn,0.04026,0.0402,0.00219,0.05051,0.024,-6.01,83.16,0.3134,0.0259,0.66,0.0,0.0,0,0.0,0.0
3,39,0.78,spawn,0.03848,0.03847,0.00107,0.04823,0.024,-5.44,84.1,0.3132,0.0258,0.689,0.0,0.0,0,0.0,0.0
0,40,0.8,spawn,0.04494,0.04494,0.00022,0.05545,0.0246,-6.19,83.81,0.3132,0.0261,0.749,0.0,0.0,0,0.0,0.0
1,40,0.8,spawn,0.04617,0.04613,-0.00204,0.05595,0.0246,-5.61,83.47,0.3122,0.0251,0.79,0.0,0.0,0,0.0,0.0
2,40,0.8,spawn,0.04508,0.04508,-0.00017,0.05556,0.0246,-6.19,83.8,0.3131,0.026,0.752,0.0,0.0,0,0.0,0.0
3,40,0.8,spawn,0.04362,0.04361,-0.00107,0.05359,0.0246,-5.83,84.17,0.3129,0.0259,0.774,0.0,0.0,0,0.0,0.0
0,41,0.82,spawn,0.04872,0.04867,-0.00216,0.05971,0.0252,-6.4,82.79,0.313,0.0262,0.834,0.0,0.0,0,0.0,0.0
1,41,0.82,spawn,0.05101,0.05083,-0.00436,0.06141,0.0252,-5.95,80.86,0.3119,0.025,0.87,0.0,0.0,0,0.0,0.0
2,41,0.82,spawn,0.04853,0.04846,-0.00271,0.05924,0.0252,-6.35,83.25,0.3129,0.026,0.842,0.0,0.0,0,0.0,0.0
3,41,0.82,spawn,0.04813,0.04801,-0.00345,0.05853,0.0252,-6.1,82.94,0.3126,0.0258,0.86,0.0,0.0,0,0.0,0.0
0,42,0.84,spawn,0.0525,0.05233,-0.00427,0.06392,0.0258,-6.49,80.54,0.3127,0.0262,0.926,0.0,0.0,0,0.0,0.0
1,42,0.84,spawn,0.05514,0.05476,-0.00646,0.06598,0.0258,-6.31,79.27,0.3116,0.0249,0.949,0.0,0.0,0,0.0,0.0
2,42,0.84,spawn,0.05222,0.05198,-0.00501,0.06346,0.0258,-6.42,80.75,0.3126,0.0261,0.941,0.0,0.0,0,0.0,0.0
