attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
2,39,0.78,settle,0.22497,0.2086,-0.08427,0.22497,0.024,-31.9,4.73,0.334,0,0.0,0.0
3,39,0.78,settle,0.22502,0.20864,-0.08429,0.22502,0.024,-31.91,4.73,0.334,0,0.0,0.0
0,40,0.8,settle,0.22935,0.21224,-0.0869,0.22935,0.0246,-32.44,4.81,0.3343,0,0.0,0.0
1,40,0.8,settle,0.22934,0.21223,-0.0869,0.22934,0.0246,-32.44,4.81,0.3343,0,0.0,0.0
2,40,0.8,settle,0.22933,0.21223,-0.0869,0.22933,0.0246,-32.44,4.81,0.3343,0,0.0,0.0
3,40,0.8,settle,0.22938,0.21227,-0.08692,0.22938,0.0246,-32.45,4.81,0.3343,0,0.0,0.0
0,41,0.82,settle,0.23383,0.21603,-0.08948,0.23383,0.0252,-33.03,4.84,0.3345,0,0.0,0.0
1,41,0.82,settle,0.23381,0.21602,-0.08947,0.23381,0.0252,-33.03,4.84,0.3345,0,0.0,0.0
2,41,0.82,settle,0.23381,0.21601,-0.08947,0.23381,0.0252,-33.03,4.84,0.3345,0,0.0,0.0
3,41,0.82,settle,0.23386,0.21606,-0.08949,0.23386,0.0252,-33.04,4.84,0.3345,0,0.0,0.0
0,42,0.84,settle,0.23829,0.21977,-0.09211,0.23829,0.0258,-33.62,4.86,0.3346,0,0.0,0.0
1,42,0.84,settle,0.23828,0.21976,-0.0921,0.23828,0.0258,-33.62,4.86,0.3346,0,0.0,0.0
2,42,0.84,settle,0.23827,0.21975,-0.0921,0.23827,0.0258,-33.62,4.86,0.3346,0,0.0,0.0
3,42,0.84,settle,0.23834,0.21981,-0.09213,0.23834,0.0258,-33.64,4.85,0.3347,0,0.0,0.0
0,43,0.86,settle,0.24274,0.22347,-0.09478,0.24274,0.0264,-34.22,4.8,0.3348,0,0.0,0.0
1,43,0.86,settle,0.24272,0.22345,-0.09477,0.24272,0.0264,-34.22,4.8,0.3348,0,0.0,0.0
2,43,0.86,settle,0.24272,0.22345,-0.09477,0.24272,0.0264,-34.21,4.8,0.3348,0,0.0,0.0
3,43,0.86,settle,0.24277,0.2235,-0.0948,0.24277,0.0264,-34.23,4.8,0.3348,0,0.0,0.0
0,44,0.88,settle,0.2474,0.22749,-0.09724,0.2474,0.027,-34.87,4.73,0.3349,0,0.0,0.0
